Attribute,Value,Date_GBP,Date_usd,Date_EUR,Day Name_fOR_USD,Day_ Name_EUR,Day_Name_GBP
USD,95.146,20/11/2012,13/08/2012,14/11/2012,Monday,Wednesday,Tuesday
USD,95.147,21/11/2012,14/08/2012,15/11/2012,Tuesday,Thursday,Wednesday
USD,95.147,22/11/2012,15/08/2012,16/11/2012,Wednesday,Friday,Thursday
USD,95.148,26/11/2012,17/08/2012,20/11/2012,Friday,Tuesday,Monday
USD,95.148,23/11/2012,16/08/2012,19/11/2012,Thursday,Monday,Friday
USD,95.149,27/11/2012,20/08/2012,21/11/2012,Monday,Wednesday,Tuesday
USD,95.152,29/11/2012,24/08/2012,23/11/2012,Friday,Friday,Thursday
USD,95.152,28/11/2012,23/08/2012,22/11/2012,Thursday,Thursday,Wednesday
USD,95.153,03/12/2012,27/08/2012,26/11/2012,Monday,Monday,Monday
USD,95.154,04/12/2012,28/08/2012,27/11/2012,Tuesday,Tuesday,Tuesday
USD,95.154,05/12/2012,29/08/2012,28/11/2012,Wednesday,Wednesday,Wednesday
USD,95.155,07/12/2012,03/09/2012,03/12/2012,Monday,Monday,Friday
USD,95.155,06/12/2012,30/08/2012,29/11/2012,Thursday,Thursday,Thursday
