Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,101.286,2007,July,2007,July,2007,June
EUR,101.30717,2004,August,2004,August,2004,August
EUR,101.30772,2004,June,2004,June,2004,June
EUR,101.31216,2004,June,2004,June,2004,June
EUR,101.31779,2004,August,2004,August,2004,August
EUR,101.32728,2004,February,2004,February,2004,February
EUR,101.3414,2004,January,2004,January,2004,January
EUR,101.34168,2004,June,2004,June,2004,June
EUR,101.358,2007,May,2007,May,2007,April
EUR,101.371,2009,April,2009,April,2009,January
EUR,101.3746,2004,February,2004,February,2004,February
EUR,101.38631,2006,June,2006,June,2006,May
EUR,101.39743,2004,June,2004,June,2004,June
EUR,101.403,2009,March,2009,March,2008,December
EUR,101.41083,2004,June,2004,June,2004,June
EUR,101.41988,2006,June,2006,June,2006,June
EUR,101.42064,2006,June,2006,June,2006,June
EUR,101.423,2009,April,2009,May,2009,January
EUR,101.423,2009,April,2009,May,2009,February
EUR,101.429,2008,October,2008,October,2008,July
EUR,101.45019,2006,June,2006,June,2006,May
EUR,101.458,2009,April,2009,April,2009,January
EUR,101.4593,2004,August,2004,August,2004,August
EUR,101.461,2007,August,2007,August,2007,July
EUR,101.46558,2004,January,2004,January,2004,January
EUR,101.46777,2006,June,2006,June,2006,June
EUR,101.46954,2006,July,2006,July,2006,July
EUR,101.496,2004,July,2004,July,2004,July
EUR,101.51734,2006,July,2006,July,2006,July
EUR,101.52657,2006,May,2006,May,2006,April
EUR,101.55799,2006,October,2006,October,2006,September
EUR,101.57046,2006,October,2006,October,2006,October
EUR,101.57863,2004,July,2004,July,2004,July
EUR,101.59368,2006,October,2006,October,2006,September
EUR,101.605,2008,October,2008,October,2008,July
EUR,101.61426,2004,June,2004,June,2004,June
EUR,101.64,2008,October,2008,October,2008,July
EUR,101.648,2007,August,2007,August,2007,August
EUR,101.653,2007,July,2007,July,2007,June
EUR,101.656,2009,March,2009,March,2008,December
EUR,101.657,2007,August,2007,August,2007,August
EUR,101.657,2007,September,2007,September,2007,August
EUR,101.67,2007,May,2007,May,2007,April
EUR,101.68982,2006,October,2006,October,2006,September
EUR,101.69,2007,September,2007,September,2007,August
EUR,101.69325,2006,July,2006,August,2006,July
EUR,101.697,2008,December,2008,December,2008,September
EUR,101.69819,2006,September,2006,September,2006,September
EUR,101.6985,2006,September,2006,September,2006,September
EUR,101.69904,2006,September,2006,September,2006,September
EUR,101.69906,2006,September,2006,September,2006,August
EUR,101.6991,2006,September,2006,September,2006,August
EUR,101.69912,2006,September,2006,September,2006,September
EUR,101.70631,2006,September,2006,October,2006,September
EUR,101.715,2009,January,2009,January,2008,September
EUR,101.7346,2006,November,2006,November,2006,October
EUR,101.75121,2004,February,2004,February,2004,February
EUR,101.795,2007,July,2007,July,2007,June
EUR,101.81352,2004,February,2004,February,2004,February
EUR,101.834,2007,May,2007,May,2007,April
EUR,101.8545,2006,October,2006,October,2006,September
